date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-01-02,132.0,133.5,129.59,132.08,30667439.0,4038536855.0,3795757968.0,0.00807939791170584
2020-01-03,131.6,132.07,129.61,130.55,20469248.0,2672531470.0,3795757968.0,0.00539266417210087
2020-01-06,130.0,130.25,128.52,129.2,25936979.0,3353682073.0,3795757968.0,0.006833148798912039
2020-01-07,129.5,131.07,129.0,129.37,22327793.0,2901574233.0,3795757968.0,0.0058823015556401775
2020-01-08,128.99,129.76,128.05,128.89,16180218.0,2083242871.0,3795757968.0,0.004262710672389215
2020-01-09,129.0,131.2,128.25,130.77,25549057.0,3317934212.0,3795757968.0,0.006730949975048567
2020-01-10,130.5,134.05,130.5,133.62,42969542.0,5712380856.0,3795757968.0,0.011320411459912135
2020-01-13,134.26,140.0,134.25,139.66,49604194.0,6847185988.0,3795757968.0,0.01306832374935029
2020-01-14,140.1,140.68,138.2,138.56,19907317.0,2767444879.0,3795757968.0,0.005244622330461509
2020-01-15,138.56,142.81,138.55,140.8,23478904.0,3309331110.0,3795757968.0,0.006185564042264562
2020-01-16,140.8,142.0,139.3,140.66,14535988.0,2046672621.0,3795757968.0,0.0038295350026385034
2020-01-17,141.26,141.8,138.3,138.55,14847814.0,2068064060.0,3795757968.0,0.0039116861836750285
2020-01-20,140.55,140.66,136.8,137.56,16753769.0,2308928099.0,3795757968.0,0.004413813826182292
2020-01-21,136.5,136.5,132.01,132.62,29307308.0,3903226855.0,3795757968.0,0.0077210686895935405
2020-01-22,130.99,132.67,129.76,131.7,25753051.0,3375415202.0,3795757968.0,0.006784692600821802
2020-01-23,131.77,131.77,125.0,126.16,41593668.0,5294268764.0,3795757968.0,0.010957934713080736
2020-02-03,113.54,113.54,113.54,113.54,16763900.0,1903373206.0,3795757968.0,0.004416482858319064
2020-02-04,109.0,120.0,109.0,114.5,71021426.0,8017646169.0,3795757968.0,0.01871073619517987
2020-02-05,115.9,119.8,114.1,117.51,38878339.0,4546389351.0,3795757968.0,0.010242575877535508
2020-02-06,119.0,119.94,116.6,119.15,30655105.0,3619248779.0,3795757968.0,0.008076148494829426
2020-02-07,119.25,120.93,117.61,120.58,28011695.0,3346691769.0,3795757968.0,0.007379736863138161
2020-02-10,119.5,122.33,118.58,121.13,22187650.0,2682789606.0,3795757968.0,0.0058453806030448145
2020-02-11,121.15,125.5,121.15,124.79,24577382.0,3049430908.0,3795757968.0,0.006474960260163774
2020-02-12,124.5,125.25,122.77,124.49,17511362.0,2168783486.0,3795757968.0,0.0046134032115927575
2020-02-13,124.88,126.66,123.37,124.14,17862884.0,2230165010.0,3795757968.0,0.0047060123829265185
2020-02-14,124.2,125.88,122.45,123.43,16971973.0,2094049252.0,3795757968.0,0.00447130010477001
2020-02-17,123.18,124.3,122.58,124.3,23816908.0,2941280510.0,3795757968.0,0.006274611869562702
2020-02-18,123.8,124.3,123.01,123.39,12872775.0,1590249169.0,3795757968.0,0.0033913582237127507
2020-02-19,123.78,127.18,122.68,126.0,31662776.0,3976674952.0,3795757968.0,0.008341621427638928
2020-02-20,127.0,130.58,126.89,130.15,33466160.0,4332207306.0,3795757968.0,0.008816726535815837
2020-02-21,130.0,131.2,129.02,130.0,20743751.0,2695003477.0,3795757968.0,0.005464982534418538
2020-02-24,129.4,129.4,126.7,127.1,23560124.0,3005249413.0,3795757968.0,0.00620696161310146
2020-02-25,124.8,127.0,123.86,125.3,24063330.0,3014293143.0,3795757968.0,0.006339532236476886
2020-02-26,123.83,126.42,123.0,124.1,21417866.0,2662201891.0,3795757968.0,0.005642579474392873
2020-02-27,124.8,127.75,124.5,126.3,23573167.0,2986686525.0,3795757968.0,0.006210397817440609
2020-02-28,124.0,124.03,119.0,120.6,36601211.0,4445668089.0,3795757968.0,0.009642661968588404
2020-03-02,120.1,123.6,119.6,122.65,26982238.0,3287615181.0,3795757968.0,0.007108524365218431
2020-03-03,123.7,125.88,123.7,124.37,23092324.0,2878896361.0,3795757968.0,0.006083718770975126
2020-03-04,124.0,125.93,124.0,125.27,19757510.0,2471690890.0,3795757968.0,0.005205155377809906
