date,stock,sector,market,price,volume
2024-01-02,AAPL,Technology,US,186.2,1056000
2024-01-02,Alibaba,Technology,CN,77.22,1872000
2024-01-02,Johnson & Johnson,Healthcare,US,153.86,1056000
2024-01-02,Exxon,Energy,US,100.47,863200
2024-01-03,MSFT,Technology,US,413.7,940800
2024-01-03,Mindray,Healthcare,CN,297.47,369600
2024-01-03,ICBC,Finance,CN,5.68,5408000
2024-01-03,Chevron,Energy,US,145.53,716800
2024-01-04,NVDA,Technology,US,871.2,1560000
2024-01-04,Wuxi AppTec,Healthcare,CN,57.42,835200
2024-01-04,CCB,Finance,CN,7.09,5152000
2024-01-04,CNOOC,Energy,CN,28.42,2288000
2024-01-05,PetroChina,Energy,CN,9.36,3936000
2024-01-05,JPM,Finance,US,171.1338028169014,642400
2024-01-05,TSM,Technology,TW,142.1,963200
2024-01-06,Pfizer,Healthcare,US,29.7,936000
2024-01-06,Tencent,Technology,CN,281.71,1848000
2024-01-06,Bank of America,Finance,US,37.24,2016000
2024-01-09,AAPL,Technology,US,188.1,1056000
2024-01-09,Johnson & Johnson,Healthcare,US,155.43,627200
2024-01-09,Alibaba,Technology,CN,78.0,1872000
2024-01-09,Exxon,Energy,US,101.49,863200
2024-01-10,Chevron,Energy,US,147.0,716800
2024-01-10,MSFT,Technology,US,417.9,940800
2024-01-10,Mindray,Healthcare,CN,300.49,369600
2024-01-10,ICBC,Finance,CN,5.74,5408000
2024-01-11,CNOOC,Energy,CN,28.71,2288000
2024-01-11,Wuxi AppTec,Healthcare,CN,58.0,835200
2024-01-11,CCB,Finance,CN,7.16,5152000
2024-01-11,NVDA,Technology,US,880.0,1560000
2024-01-12,JPM,Finance,US,198.0,642400
2024-01-12,PetroChina,Energy,CN,9.45,3936000
2024-01-12,TSM,Technology,TW,143.55,963200
2024-01-13,Tencent,Technology,CN,284.57,1848000
2024-01-13,Pfizer,Healthcare,US,30.0,936000
2024-01-13,Bank of America,Finance,US,37.62,2016000
2024-01-16,AAPL,Technology,US,190.0,1056000
2024-01-16,Exxon,Energy,US,102.51,863200
2024-01-16,Alibaba,Technology,CN,78.78,1872000
2024-01-16,Johnson & Johnson,Healthcare,US,157.0,627200
2024-01-17,ICBC,Finance,CN,5.8,5408000
2024-01-17,MSFT,Technology,US,422.1,940800
2024-01-17,Mindray,Healthcare,CN,303.51,369600
2024-01-17,Chevron,Energy,US,148.47,716800
2024-01-18,NVDA,Technology,US,888.8,1560000
2024-01-18,CCB,Finance,CN,7.24,5152000
2024-01-18,Wuxi AppTec,Healthcare,CN,58.58,835200
2024-01-18,CNOOC,Energy,CN,29.0,2288000
2024-01-19,PetroChina,Energy,CN,9.55,3936000
2024-01-19,JPM,Finance,US,199.98,642400
2024-01-19,TSM,Technology,TW,145.0,963200
2024-01-20,Pfizer,Healthcare,US,30.3,936000
2024-01-20,Tencent,Technology,CN,287.43,1848000
2024-01-20,Bank of America,Finance,US,38.0,2016000
2024-01-23,Johnson & Johnson,Healthcare,US,158.57,627200
2024-01-23,AAPL,Technology,US,191.9,1056000
2024-01-23,Exxon,Energy,US,103.53,863200
2024-01-23,Alibaba,Technology,CN,79.56,1872000
2024-01-24,Chevron,Energy,US,149.94,716800
2024-01-24,ICBC,Finance,CN,5.86,5408000
2024-01-24,MSFT,Technology,US,426.3,940800
2024-01-24,Mindray,Healthcare,CN,306.53,369600
2024-01-25,CCB,Finance,CN,7.31,5152000
2024-01-25,NVDA,Technology,US,897.6,1560000
2024-01-25,CNOOC,Energy,CN,29.29,2288000
2024-01-25,Wuxi AppTec,Healthcare,CN,59.16,835200
2024-01-26,TSM,Technology,TW,146.45,963200
2024-01-26,JPM,Finance,US,201.96,642400
2024-01-26,PetroChina,Energy,CN,9.64,3936000
2024-01-27,Bank of America,Finance,US,38.38,2016000
2024-01-27,Pfizer,Healthcare,US,30.6,936000
2024-01-27,Tencent,Technology,CN,290.29,1848000
